Location,Date,Type,Longitude,Latitude
Mendocino County,06/02/2021,hoop,-123.4476608097734,39.48960255426086
Mendocino County,06/02/2021,hoop,-123.4475772237055,39.48960248293813
Mendocino County,06/02/2021,hoop,-123.4476965266353,39.48953492017754
Mendocino County,06/02/2021,hoop,-123.44763044419,39.48953390739303
Mendocino County,06/02/2021,hoop,-123.4475676297244,39.48952173233861
Mendocino County,06/02/2021,hoop,-123.4476929930423,39.48946965054604
Mendocino County,06/02/2021,hoop,-123.4476278183548,39.48945748502491
Mendocino County,06/02/2021,hoop,-123.4477032878859,39.48940461971746
Mendocino County,06/02/2021,hoop,-123.4476220712477,39.4893908111274
Mendocino County,06/02/2021,hoop,-123.447692957436,39.48933115189013
Mendocino County,06/02/2021,hoop,-123.4476267861486,39.48930634023728
Mendocino County,06/02/2021,hoop,-123.4461052820382,39.49179048790475
Mendocino County,06/02/2021,hoop,-123.4460635966128,39.4917615554459
Mendocino County,06/02/2021,hoop,-123.4460050196594,39.49172555637595
Mendocino County,06/02/2021,hoop,-123.4461385036817,39.4917621591052
Mendocino County,06/02/2021,hoop,-123.4460880705178,39.49173226209037
Mendocino County,06/02/2021,hoop,-123.4460255409297,39.49168685277053
Mendocino County,06/02/2021,hoop,-123.4461961119928,39.49175300554222
Mendocino County,06/02/2021,hoop,-123.4461579180759,39.49172844969258
Mendocino County,06/02/2021,hoop,-123.4461171915907,39.49169454702849
Mendocino County,06/02/2021,hoop,-123.4460568693555,39.49165966310518
Mendocino County,06/02/2021,hoop,-123.4435892294059,39.49192774609238
Mendocino County,06/02/2021,hoop,-123.443502399347,39.49185808668527
Mendocino County,06/02/2021,hoop,-123.443348546282,39.49197555943663
Mendocino County,06/02/2021,hoop,-123.4411887852562,39.49611062714848
Mendocino County,06/02/2021,hoop,-123.441174390761,39.49607150710371
Mendocino County,06/02/2021,hoop,-123.4411235839471,39.49598436010197
Mendocino County,06/02/2021,hoop,-123.4410958984802,39.49610696437919
Mendocino County,06/02/2021,hoop,-123.4410791945508,39.49605293545384
Mendocino County,06/02/2021,hoop,-123.44103158496,39.49597079474276
Mendocino County,06/02/2021,hoop,-123.441138959996,39.49602392106105
Mendocino County,06/02/2021,hoop,-123.441257241881,39.4959961381131
Mendocino County,06/02/2021,hoop,-123.4413179122579,39.49603200608819
Mendocino County,06/02/2021,hoop,-123.4414530010281,39.49612644031674
Mendocino County,06/02/2021,hoop,-123.4414414628401,39.49633950224848
Mendocino County,06/02/2021,hoop,-123.4243163560643,39.49303867345076
Mendocino County,06/02/2021,hoop,-123.424287034386,39.49296788302411
Mendocino County,06/02/2021,hoop,-123.4242257050796,39.49289624246556
Mendocino County,06/02/2021,hoop,-123.4243885256316,39.49295181497508
Mendocino County,06/02/2021,hoop,-123.4243128604026,39.49287364516745
Mendocino County,06/02/2021,hoop,-123.4222568493673,39.49101881749685
Mendocino County,06/02/2021,hoop,-123.4223358289414,39.49093957304512
Mendocino County,06/02/2021,hoop,-123.4105032968195,39.4881572797034
Mendocino County,06/02/2021,hoop,-123.4105532952104,39.48819218029009
Mendocino County,06/02/2021,hoop,-123.410857840742,39.4885931353808
Mendocino County,06/02/2021,hoop,-123.4109568148411,39.48844012835576
Mendocino County,06/02/2021,hoop,-123.4110634140904,39.48842990925279
Mendocino County,06/02/2021,hoop,-123.4108883842185,39.48853826023549
Mendocino County,06/02/2021,hoop,-123.2718359717037,39.45627637223205
