Location,Date,Type,Longitude,Latitude
Santa Maria,08/26/2022,hoop,-120.4803686755347,34.93319689426797
Santa Maria,08/26/2022,hoop,-120.4816989236107,34.93420511478575
Santa Maria,08/26/2022,hoop,-120.4805294434411,34.93407232347944
Santa Maria,08/26/2022,hoop,-120.481198761403,34.93388397553525
Santa Maria,08/26/2022,hoop,-120.4799491848364,34.93390270143331
Santa Maria,08/26/2022,hoop,-120.4794484282534,34.93420018284266
Santa Maria,08/26/2022,hoop,-120.4789708214249,34.93384213549342
Santa Maria,08/26/2022,hoop,-120.4780419405793,34.93399943147878
Santa Maria,08/26/2022,hoop,-120.4774323004539,34.93397605152123
Santa Maria,08/26/2022,hoop,-120.4769416607183,34.93394385994925
Santa Maria,08/26/2022,hoop,-120.4817188276094,34.93347868715533
Santa Maria,08/26/2022,hoop,-120.4814998252043,34.93312196384905
Santa Maria,08/26/2022,hoop,-120.4808355670703,34.9333900563455
Santa Maria,08/26/2022,hoop,-120.4799644539799,34.93305034294354
Santa Maria,08/26/2022,hoop,-120.4779935680349,34.93319349871854
Santa Maria,08/26/2022,hoop,-120.4774307770763,34.93045868848702
Santa Maria,08/26/2022,hoop,-120.4781316003503,34.9317727549311
Santa Maria,08/26/2022,hoop,-120.481551272112,34.93180991064134
Santa Maria,08/26/2022,hoop,-120.4813904611614,34.93116012149433
Santa Maria,08/26/2022,hoop,-120.4806535445226,34.93174043018983
Santa Maria,08/26/2022,hoop,-120.4803843178686,34.9324371561589
Santa Maria,08/26/2022,hoop,-120.4801002062514,34.93158195000725
Santa Maria,08/26/2022,hoop,-120.4788853862812,34.93198692202019
Santa Maria,08/26/2022,hoop,-120.4770702764041,34.93141625932348
Santa Maria,08/26/2022,hoop,-120.4780826145997,34.93260562928091
Santa Maria,08/26/2022,hoop,-120.4816689228711,34.93268325130263
Santa Maria,08/26/2022,hoop,-120.4769390147508,34.9334885608622
Santa Maria,08/26/2022,hoop,-120.4777135352919,34.93229006367243
Santa Maria,08/26/2022,hoop,-120.4976340016996,34.92855785126616
Santa Maria,08/26/2022,hoop,-120.4975482429393,34.92806332104811
Santa Maria,08/26/2022,hoop,-120.4971117842666,34.92833608735316
Santa Maria,08/26/2022,hoop,-120.4968582765848,34.92795493879485
Santa Maria,08/26/2022,hoop,-120.4939318446349,34.92842404597185
Santa Maria,08/26/2022,hoop,-120.4955772048708,34.92797243677282
Santa Maria,08/26/2022,hoop,-120.4950824070521,34.92827452153502
Santa Maria,08/26/2022,hoop,-120.493541307623,34.92794585875068
Santa Maria,08/26/2022,hoop,-120.4918400561984,34.92821949119784
Santa Maria,08/26/2022,hoop,-120.4934578452537,34.92734203020238
Santa Maria,08/26/2022,hoop,-120.4909988517624,34.92746932325306
Santa Maria,08/26/2022,hoop,-120.4974825504171,34.92635369850333
Santa Maria,08/26/2022,hoop,-120.4967990213606,34.92737579782514
Santa Maria,08/26/2022,hoop,-120.4955813548561,34.92756405282595
Santa Maria,08/26/2022,hoop,-120.4957012671476,34.92646805275606
Santa Maria,08/26/2022,hoop,-120.4933622103115,34.92641920599111
Santa Maria,08/26/2022,hoop,-120.4925317538982,34.92647494657005
