Location,Date,Type,Longitude,Latitude
Watsonville,05/09/2018,hoop,-121.7381607330388,36.90780609903767
Watsonville,05/09/2018,hoop,-121.7385883679617,36.90782565815623
Watsonville,05/09/2018,hoop,-121.7387355271961,36.90758103829457
Watsonville,05/09/2018,hoop,-121.7391077992806,36.90785287454706
Watsonville,05/09/2018,hoop,-121.7395698520288,36.90768507598953
Watsonville,05/09/2018,hoop,-121.7399968615498,36.90784791986464
Watsonville,05/09/2018,hoop,-121.7405435099572,36.90770656725228
Watsonville,05/09/2018,hoop,-121.740858019236,36.90789484677511
Watsonville,05/09/2018,hoop,-121.7416456776385,36.90769531875516
Watsonville,05/09/2018,hoop,-121.7413344152123,36.90794312865843
Watsonville,05/09/2018,hoop,-121.7380152475668,36.90684358910676
Watsonville,05/09/2018,hoop,-121.7380913305096,36.90724147043682
Watsonville,05/09/2018,hoop,-121.7384723176865,36.90713071239549
Watsonville,05/09/2018,hoop,-121.7391722390267,36.90724908196887
Watsonville,05/09/2018,hoop,-121.7395457584405,36.90698104814128
Watsonville,05/09/2018,hoop,-121.7397654621247,36.90728130314102
Watsonville,05/09/2018,hoop,-121.740058828707,36.90695686922906
Watsonville,05/09/2018,hoop,-121.7404190559152,36.90726932872852
Watsonville,05/09/2018,hoop,-121.7408087160295,36.90697330535506
Watsonville,05/09/2018,hoop,-121.7410251310971,36.90729282151077
Watsonville,05/09/2018,hoop,-121.7380253828955,36.90654135128786
Watsonville,05/09/2018,hoop,-121.738694917676,36.90643278905949
Watsonville,05/09/2018,hoop,-121.7390962470825,36.90656028246334
Watsonville,05/09/2018,hoop,-121.7395485916485,36.90630742846401
Watsonville,05/09/2018,hoop,-121.7398026517285,36.9066048462027
Watsonville,05/09/2018,hoop,-121.7402707356893,36.90633768365306
Watsonville,05/09/2018,hoop,-121.7404586516421,36.90656905358574
Watsonville,05/09/2018,hoop,-121.7408729984669,36.90665368974324
Watsonville,05/09/2018,hoop,-121.741161045805,36.9063013279458
Watsonville,05/09/2018,hoop,-121.7414772037379,36.90665654517097
Watsonville,05/09/2018,hoop,-121.7380447043547,36.90586586399248
Watsonville,05/09/2018,hoop,-121.7387352296307,36.90548740044603
Watsonville,05/09/2018,hoop,-121.7387112130864,36.90593662541787
Watsonville,05/09/2018,hoop,-121.7391924986023,36.90552210759004
Watsonville,05/09/2018,hoop,-121.7394375518373,36.90595265235307
Watsonville,05/09/2018,hoop,-121.7398765500761,36.90565070258425
Watsonville,05/09/2018,hoop,-121.7404351817778,36.90594226681726
Watsonville,05/09/2018,hoop,-121.7410704312774,36.9056293859079
Watsonville,05/09/2018,hoop,-121.7415302282309,36.90588555240885
Watsonville,05/09/2018,hoop,-121.7422056518726,36.90567699359749
Watsonville,05/09/2018,hoop,-121.738712286602,36.90499955574538
Watsonville,05/09/2018,hoop,-121.7390932196263,36.90527745710501
Watsonville,05/09/2018,hoop,-121.7395826874924,36.90493955730073
Watsonville,05/09/2018,hoop,-121.7397189428749,36.90520291220343
Watsonville,05/09/2018,hoop,-121.7400027033458,36.9050420301669
Watsonville,05/09/2018,hoop,-121.7428317011791,36.90843222053423
Watsonville,05/09/2018,hoop,-121.7434168009982,36.90848069986031
